"Please agree to all the terms and conditions before placing the order.","Acepta todos los términos y condiciones antes de realizar el pedido.."
"Order could not be generated.","No se pudo generar el pedido."
"LinkToPay could not be generated for this order.", "No se pudo generar el LinkToPay para este pedido."
"We can't place the last order.","No pudimos realizar el último pedido.."
"Sorry, your payment could not be processed. (Code: %1)","Lo sentimos, tu pago no pudo ser procesado. (Code: %1)"
"Invalid Payment Method","Medio de pago inválido"
"Sorry, your payment could not be processed. (Code: ERR01)","Lo sentimos, tu pago no pudo ser procesado. (Code: ERR01)"
"Sorry, your refund could not be processed. (Code: %1)","Lo sentimos, tu reembolso no pudo ser procesado. (Code: %1)"
Mexico,Mexico
Ecuador,Ecuador
Colombia,Colombia
Brazil,Brasil
Peru,Peru
Argentina,Argentina
Venezuela,Venezuela
Chile,Chile
"Mexican Peso","Peso Mexicano"
"US Dollar","US Dolar"
"Colombian Peso","Peso Colombiano"
"Brazilian Real","Real Brasileño"
"Peruvian Nuevo Sol","Sol Peruano"
"Argentine Peso","Peso Argentino"
"Venezuelan Bolívar","Bolívar Venezolano"
"Chilean Peso","Peso Chileno"
Staging,Desarrollo
Production,Producción
"Revolving and deferred without interest (The bank will pay to the commerce the installment, month by month)(Ecuador)","Revolvente y diferido sin intereses (El banco pagará al comercio la cuota, mes a mes) (Ecuador)"
"Deferred with interest (Ecuador, México)","Diferido con intereses (Ecuador, México)"
"Deferred without interest (Ecuador, México)","Diferido sin intereses (Ecuador, México)"
"Deferred with interest and months of grace (Ecuador)","Diferido con intereses y meses de gracia (Ecuador)"
"Deferred without interest pay month by month (Ecuador)(Medianet)","Pago diferido sin intereses mes a mes (Ecuador) (Medianet)"
"Deferred without interest and months of grace (Ecuador, México)","Diferido sin intereses y meses de gracia (Ecuador, México)"
"Deferred without interest and months of grace (Ecuador)(Medianet)","Diferido sin intereses y meses de gracia (Ecuador) (Medianet)"
"Deferred without interest promotion bimonthly (Ecuador)","Promoción bimestral diferida sin intereses (Ecuador)"
"For Diners Club exclusive, deferred with and without interest (Ecuador)","Para Diners Club exclusivo, diferido con y sin interés (Ecuador)"
"Deferred with interest pay month by month (Ecuador)(Medianet)","Diferido con pago de intereses mes a mes (Ecuador) (Medianet)"
"Deferred without interest promotions (Supermaxi)(Ecuador)(Medianet)","Promociones diferidas sin intereses (Supermaxi) (Ecuador) (Medianet)"
"Deferred with interest (Cuota fácil)(Ecuador)(Medianet)","Diferido con intereses (Cuota fácil) (Ecuador) (Medianet)"
"Without interest (Rendecion Produmillas)(Ecuador)(Medianet)","Sin interés (Rendecion Produmillas) (Ecuador) (Medianet)"
"Without interest sale with promotions (Ecuador)(Medianet)","Venta sin intereses con promociones (Ecuador) (Medianet)"
"Deferred special without interest (Ecuador)(Medianet)","Especial diferido sin intereses (Ecuador) (Medianet)"
"Credit without interest (cte smax)(Ecuador)(Medianet)","Crédito sin intereses (cte smax) (Ecuador) (Medianet)"
"Special credit without interest (smax)(Ecuador)(Medianet)","Crédito especial sin intereses (smax) (Ecuador) (Medianet)"
"Prepay without interest (smax)(Ecuador)(Medianet)","Prepago sin intereses (smax) (Ecuador) (Medianet)"
"Defered credit without interest (smax)(Ecuador)(Medianet)","Crédito diferido sin intereses (dmax) (Ecuador) (Medianet)"
"Without interest with months of grace (Supermaxi)(Ecuador)(Medianet)","Sin intereses con meses de gracia (Supermaxi) (Ecuador) (Medianet)"
Authorize,Autorización
"Authorize & Capture","Autorización & Captura"
"Order not found","Orden no encontrada"
"Order status is complete, can't change.","El estado del pedido es completado, no se puede cambiar."
"stokens did not match.","stokens no coinciden."
"Place Order","Realizar pedido"
"%1 installments","%1 cuotas"
"Revolving and deferred without interest (The bank will pay to the commerce the installment, month by month)","Revolvente y diferido sin intereses (El banco pagará al comercio la cuota, mes a mes)"
"Deferred with interest","Diferido con intereses"
"Deferred without interest","Diferido sin intereses"
"Deferred with interest and months of grace","Diferido con intereses y meses de gracia"
"Deferred without interest pay month by month","Diferido sin pago de intereses mes a mes"
"Deferred without interest and months of grace","Diferido sin intereses y meses de gracia"
"Deferred without interest promotion bimonthly","Diferido sin interés promoción bimestral"
"For Diners Club exclusive, deferred with and without interest","Para Diners Club exclusivo, diferido con y sin interés"
"Deferred with interest pay month by month","Diferido con pago de intereses mes a mes"
"Deferred without interest promotions (Supermaxi)","Promociones diferidas sin intereses (Supermaxi)"
"Deferred with interest (Cuota fácil)","Diferido con intereses (Cuota fácil)"
"Without interest (Rendecion Produmillas)","Sin interés (Rendecion Produmillas)"
"Without interest sale with promotions","Venta sin intereses con promociones"
"Deferred special without interest","Especial diferido sin intereses"
"Credit without interest (cte smax)","Crédito sin intereses (cte smax)"
"Special credit without interest (smax)","Crédito especial sin intereses (smax)"
"Prepay without interest (smax)","Prepago sin intereses (smax)"
"Defered credit without interest (smax)","Crédito diferido sin intereses (smax)"
"Without interest with months of grace (Supermaxi)","Sin intereses con meses de gracia (Supermaxi)"
"Disable Installments","Deshabilitar Cuotas"
Paymentez,Paymentez
Enabled,Habilitar
"Card Options","Opciones Tarjeta"
"Active pay with card","Activar pago con tarjeta"
Title,Título
Environment,Ambiente
"Payment Action","Acción de pago"
"Supported Brands","Marcas soportadas"
"Allow Installments","Permitir cuotas"
"Installments Types","Tipos de Cuotas"
"Minimum Order Total","Mínimo Total de Orden"
"Maximum Order Total","Máximo Total de Order"
"Leave empty to disable limit","Dejar vacía para desactivar el límite"
"Sort Order","Orden de clasificación"
"LinkToPay Options","Opciones LinkToPay"
"Active pay with LTP","Activar pago con LTP"
"Allow Partial Payments","Permitir pagos parciales"
"Expiration Days for LinkToPay","Días de vencimiento para el LinkToPay"
Credentials,Credenciales
"Production Server Application Code","Production Server Application Code"
"Production Server Application Key","Production Server Application Key"
"Production Client Application Code","Production Client Application Code"
"Production Client Application Key","Production Client Application Key"
"Staging Server Application Code","Staging Server Application Code"
"Staging Server Application Key","Staging Server Application Key"
"Staging Client Application Code","Staging Client Application Code"
"Staging Client Application Key","Staging Client Application Key"
"Supported Countries","Países soportados"
"Supported Currencies","Monedas soportadas"
Debug,Debug
"In how many installments do you want to pay?","¿En cuantas cuotas desea pagar?"
"Select the installments type to pay", "Seleccione el tipo de cuotas para el pago"
